iteration,split,examples,avg_edit_distance,avg_reward,avg_section_match_rate,learned_rules
0,train,2,0.1156,0.8844,0.5417,0
0,heldout,1,0.1043,0.8957,0.4167,0
1,train,2,0.0689,0.9311,0.625,1
1,heldout,1,0.0747,0.9253,0.4167,1
2,train,2,0.0622,0.9378,0.7083,2
2,heldout,1,0.0719,0.9281,0.5,2
3,train,2,0.0603,0.9397,0.7083,3
3,heldout,1,0.0711,0.9289,0.5,3
4,train,2,0.0568,0.9432,0.7917,4
4,heldout,1,0.0697,0.9303,0.5833,4
5,train,2,0.0,1.0,1.0,5
5,heldout,1,0.0274,0.9726,0.9167,5
6,train,2,0.0,1.0,1.0,5
6,heldout,1,0.0274,0.9726,0.9167,5
